"","overall_pick","pick_bucket","educational_prestige","team_conference","long_career_label"
"1",1,"Top5","PowerSchool","Western","LongCareer"
"2",2,"Top5","PowerSchool","Western","LongCareer"
"3",3,"Top5","OtherCollege","Western","LongCareer"
"4",4,"Top5","OtherCollege","Eastern","LongCareer"
"5",5,"Top5","OtherCollege","Western","LongCareer"
"6",6,"Lottery","OtherCollege","Eastern","NotLongCareer"
"7",7,"Lottery","OtherCollege","Eastern","LongCareer"
"8",8,"Lottery","OtherCollege","Western","NotLongCareer"
"9",9,"Lottery","OtherCollege","Eastern","LongCareer"
"10",10,"Lottery","PowerSchool","Western","LongCareer"
"11",11,"Lottery","OtherCollege","Eastern","LongCareer"
"12",12,"Lottery","OtherCollege","Eastern","LongCareer"
"13",13,"Lottery","OtherCollege","Eastern","NotLongCareer"
"14",14,"Lottery","OtherCollege","Western","LongCareer"
"15",15,"MidtoLateFirst","OtherCollege","Western","NotLongCareer"
"16",16,"MidtoLateFirst","OtherCollege","Western","LongCareer"
"17",17,"MidtoLateFirst","OtherCollege","Western","LongCareer"
"18",18,"MidtoLateFirst","OtherCollege","Eastern","LongCareer"
"19",19,"MidtoLateFirst","PowerSchool","Eastern","NotLongCareer"
"20",20,"MidtoLateFirst","OtherCollege","Eastern","NotLongCareer"
"21",21,"MidtoLateFirst","OtherCollege","Western","LongCareer"
"22",22,"MidtoLateFirst","OtherCollege","Western","NotLongCareer"
"23",23,"MidtoLateFirst","OtherCollege","Eastern","NotLongCareer"
"24",24,"MidtoLateFirst","OtherCollege","Western","NotLongCareer"
"25",25,"MidtoLateFirst","OtherCollege","Eastern","NotLongCareer"
"26",26,"MidtoLateFirst","NonCollegiate","Western","LongCareer"
"27",27,"MidtoLateFirst","OtherCollege","Eastern","NotLongCareer"
"28",28,"MidtoLateFirst","OtherCollege","Eastern","LongCareer"
"29",29,"MidtoLateFirst","OtherCollege","Western","NotLongCareer"
"30",30,"MidtoLateFirst","OtherCollege","Eastern","NotLongCareer"
"31",31,"SecondRound","OtherCollege","Western","NotLongCareer"
"32",32,"SecondRound","OtherCollege","Eastern","NotLongCareer"
"33",33,"SecondRound","PowerSchool","Western","NotLongCareer"
"34",34,"SecondRound","OtherCollege","Western","NotLongCareer"
"35",35,"SecondRound","OtherCollege","Western","NotLongCareer"
"36",36,"SecondRound","PowerSchool","Western","LongCareer"
"37",37,"SecondRound","OtherCollege","Eastern","NotLongCareer"
"38",38,"SecondRound","PowerSchool","Western","LongCareer"
"39",39,"SecondRound","OtherCollege","Eastern","NotLongCareer"
"40",40,"SecondRound","NonCollegiate","Eastern","NotLongCareer"
"41",41,"SecondRound","OtherCollege","Eastern","NotLongCareer"
"43",43,"SecondRound","OtherCollege","Eastern","LongCareer"
"45",45,"SecondRound","OtherCollege","Eastern","NotLongCareer"
"46",46,"SecondRound","OtherCollege","Western","NotLongCareer"
"49",49,"SecondRound","OtherCollege","Eastern","NotLongCareer"
"50",50,"SecondRound","OtherCollege","Eastern","NotLongCareer"
"51",51,"SecondRound","OtherCollege","Western","NotLongCareer"
"52",52,"SecondRound","OtherCollege","Western","NotLongCareer"
"55",1,"Top5","OtherCollege","Eastern","LongCareer"
"56",2,"Top5","OtherCollege","Western","LongCareer"
"57",3,"Top5","OtherCollege","Western","LongCareer"
